0	Q9LRS0;(S)-2-hydroxy-acid
1	Q9LRR9;(S)-2-hydroxy-acid
2	A0A0A7DLL0;(S)-2-hydroxy-acid
3	P93260;(S)-2-hydroxy-acid
4	A0A0B2QZ39;(S)-2-hydroxy-acid
5	Q84LB8;(S)-2-hydroxy-acid
6	Q39640;(S)-2-hydroxy-acid
7	B9S0Y9;(S)-2-hydroxy-acid
8	O49506;(S)-2-hydroxy-acid
9	P05414;(S)-2-hydroxy-acid
10	B8B7C5;(S)-2-hydroxy-acid
11	Q6YT73;(S)-2-hydroxy-acid
12	B8AKX6;(S)-2-hydroxy-acid
13	Q10CE4;(S)-2-hydroxy-acid
14	A0A0B2SP87;(S)-2-hydroxy-acid
15	A0A0B2PSW2;(S)-2-hydroxy-acid
16	A0A0B2SMJ8;(S)-2-hydroxy-acid
17	Q7FAS1;(S)-2-hydroxy-acid
18	B8AUI3;(S)-2-hydroxy-acid
19	A0A0B2PXL7;(S)-2-hydroxy-acid
20	Q01KC2;(S)-2-hydroxy-acid
21	Q7XPR4;(S)-2-hydroxy-acid
22	Q9LJH5;(S)-2-hydroxy-acid
23	A0A0B2PTJ2;(S)-2-hydroxy-acid
24	Q24JJ8;(S)-2-hydroxy-acid
25	M2WRR8;(S)-2-hydroxy-acid
26	B9ST69;(S)-2-hydroxy-acid
27	Q8H3I4;(S)-2-hydroxy-acid
28	B9ST75;(S)-2-hydroxy-acid
29	B9ST74;(S)-2-hydroxy-acid
30	Q9UJM8;(S)-2-hydroxy-acid
31	M2W7F2;(S)-2-hydroxy-acid
32	M2Y7P8;(S)-2-hydroxy-acid
33	Q9WU19;(S)-2-hydroxy-acid
34	O82077;(S)-2-hydroxy-acid
35	D8LDI6;(S)-2-hydroxy-acid
36	Q54E41;(S)-2-hydroxy-acid
37	A1Z8D3;(S)-2-hydroxy-acid
38	A9F5V5;(S)-2-hydroxy-acid
39	A8IEL8;(S)-2-hydroxy-acid
40	K9W256;(S)-2-hydroxy-acid
41	K9PNA8;(S)-2-hydroxy-acid
42	E0VFS2;(S)-2-hydroxy-acid
43	K9TUB7;(S)-2-hydroxy-acid
44	Q3ZBW2;(S)-2-hydroxy-acid
45	Q3MD83;(S)-2-hydroxy-acid
46	D8LSB4;(S)-2-hydroxy-acid
47	Q9NYQ3;(S)-2-hydroxy-acid
48	B2J901;(S)-2-hydroxy-acid
49	A9AUI7;(S)-2-hydroxy-acid
50	K9QIX1;(S)-2-hydroxy-acid
51	A0A0W0U422;(S)-2-hydroxy-acid
52	C1A4Y0;(S)-2-hydroxy-acid
53	W2V3M4;(S)-2-hydroxy-acid
54	Q1IWN3;(S)-2-hydroxy-acid
55	D6U4K8;(S)-2-hydroxy-acid
56	A0A098G587;(S)-2-hydroxy-acid
57	Q07523;(S)-2-hydroxy-acid
58	A0A0W0YZQ1;(S)-2-hydroxy-acid
59	A0A0W0TN02;(S)-2-hydroxy-acid
60	A0A0W0T515;(S)-2-hydroxy-acid
61	Q9NYQ2;(S)-2-hydroxy-acid
62	A0A0W0SKN3;(S)-2-hydroxy-acid
63	A0A0W0YDP5;(S)-2-hydroxy-acid
64	A0A0W0Y368;(S)-2-hydroxy-acid
65	B7G7W1;(S)-2-hydroxy-acid
66	D7FMI7;(S)-2-hydroxy-acid
67	D3HLE1;(S)-2-hydroxy-acid
68	A0A0W0RBD6;(S)-2-hydroxy-acid
69	A0A0W0Y0Z9;(S)-2-hydroxy-acid
70	A8M0A4;(S)-2-hydroxy-acid
71	B0XXH6;(S)-2-hydroxy-acid
72	A0A0F7PF49;(S)-2-hydroxy-acid
73	A1K321;(S)-2-hydroxy-acid
74	A0A075GPT8;(S)-2-hydroxy-acid
75	A0A061CMR4;(S)-2-hydroxy-acid
76	W6QQV7;(S)-2-hydroxy-acid
77	Q98DF1;(S)-2-hydroxy-acid
78	A2QBA3;(S)-2-hydroxy-acid
79	B8BZV0;(S)-2-hydroxy-acid
80	W0UZR8;(S)-2-hydroxy-acid
81	Q3SUS3;(S)-2-hydroxy-acid
82	F4FVI9;(S)-2-hydroxy-acid
83	A0A0J5QHZ2;(S)-2-hydroxy-acid
84	F6ETN5;(S)-2-hydroxy-acid
85	C2LP39;(S)-2-hydroxy-acid
86	Q0AMS8;(S)-2-hydroxy-acid
87	A0A0F4Z475;(S)-2-hydroxy-acid
88	A0A0N0MLM2;(S)-2-hydroxy-acid
89	C0WMC7;(S)-2-hydroxy-acid
90	C0XIJ3;(S)-2-hydroxy-acid
91	C2CYC5;(S)-2-hydroxy-acid
92	B7PME7;(S)-2-hydroxy-acid
93	A1WAZ5;(S)-2-hydroxy-acid
