uid	ec
A0A0N1GNK6	1.1.3.10
B8H6F9	1.1.3.10
J7LQA3	1.1.3.10
J7LVS7	1.1.3.10
Q0RGV3	1.1.3.10
A0A060V429	1.1.3.10
W8XI42	1.1.3.10
A0A0I9NPR5	1.1.3.10
A0A0I9Q8P2	1.1.3.10
I4EXQ4	1.1.3.10
I4EXS6	1.1.3.10
G4HXT0	1.1.3.10
Q8J2V8	1.1.3.10
G7HH71	1.1.3.12
A0A0C4YFD9	1.1.3.12
B7QMD1	1.1.3.12
M5F6A5	1.1.3.12
Q9AJD6	1.1.3.12
A0A0U1CBT0	1.1.3.12
A0A0D6IYV5	1.1.3.12
M4UHN0	1.1.3.12
Q5NT46	1.1.3.12
A5LGE0	1.1.3.13
B7PIZ7	1.1.3.13
Q7WZ62	1.1.3.13
Q7WZ62	1.1.3.13
B8LTH8	1.1.3.13
M5C7F4	1.1.3.13
M5C784	1.1.3.13
M5CH40	1.1.3.13
M5C8F8	1.1.3.13
M5CC52	1.1.3.13
M5C2L8	1.1.3.13
M5CB66	1.1.3.13
A0A0U5F9V4	1.1.3.15
S6DC87	1.1.3.15
D4XA33	1.1.3.15
D4XA32	1.1.3.15
D4XIR1	1.1.3.15
A0A0M7N4Q2	1.1.3.15
A0A0M7MCW0	1.1.3.15
A0A0M7LBC1	1.1.3.15
A0A0M9IQE6	1.1.3.15
A0A0M7BVQ0	1.1.3.15
A0A0M7BTY0	1.1.3.15
A0A0M7NE14	1.1.3.15
A0A0M7DGE4	1.1.3.15
A0A0M7G9C4	1.1.3.15
A0A0M7DDG3	1.1.3.15
E3HEK0	1.1.3.15
E3HEJ9	1.1.3.15
B9MCK9	1.1.3.15
A1W3D8	1.1.3.15
A1WAZ5	1.1.3.15
A0A0N0MLM2	1.1.3.15
A0A0N1ND03	1.1.3.15
A0A0J0UTH7	1.1.3.15
A0A0N1G0C7	1.1.3.15
A0A0N1GGN2	1.1.3.15
A0A0G3V1N4	1.1.3.15
A0A0G3UZA1	1.1.3.15
A0A0N0MSK1	1.1.3.15
W7ILH9	1.1.3.15
G8SBJ3	1.1.3.15
G8SIT6	1.1.3.15
R9PTS0	1.1.3.15
A0A0D6G466	1.1.3.15
F4G5A4	1.1.3.15
A0A0H5CSE9	1.1.3.15
A0A0N0XID0	1.1.3.15
K7WJD0	1.1.3.15
Q3MD83	1.1.3.15
C7HSG4	1.1.3.15
D4MUV9	1.1.3.15
D4MUZ9	1.1.3.15
D4N087	1.1.3.15
A0A0U5BDM6	1.1.3.15
Q9LRS0	1.1.3.15
Q24JJ8	1.1.3.15
Q9LRR9	1.1.3.15
O49506	1.1.3.15
Q9LJH5	1.1.3.15
A0A075WBB5	1.1.3.15
E6L309	1.1.3.15
A8EVV7	1.1.3.15
E6L3P7	1.1.3.15
Q5P1Z3	1.1.3.15
Q5P8S5	1.1.3.15
Q5P1Z4	1.1.3.15
M7MTF7	1.1.3.15
A0A024GXF2	1.1.3.15
H1WCY2	1.1.3.15
A2R0X2	1.1.3.15
A2QBA3	1.1.3.15
A1K321	1.1.3.15
G8AJW6	1.1.3.15
D3NRV6	1.1.3.15
I2C8Q5	1.1.3.15
A0A072P3D3	1.1.3.15
Q81GB1	1.1.3.15
Q81AQ6	1.1.3.15
D8H685	1.1.3.15
Q63E73	1.1.3.15
Q5WFZ5	1.1.3.15
Q5WIP4	1.1.3.15
Q5WFZ3	1.1.3.15
Q5WCX8	1.1.3.15
Q5WAP2	1.1.3.15
K1L399	1.1.3.15
A0A0D6T4H7	1.1.3.15
R9TT95	1.1.3.15
A0A0S3P0I5	1.1.3.15
A0A0H4NZY9	1.1.3.15
A0RBC1	1.1.3.15
Q3EWG9	1.1.3.15
Q6HLP8	1.1.3.15
A0A0A7DLL0	1.1.3.15
V4Y1L5	1.1.3.15
A0A086ZI34	1.1.3.15
A0A087D1R1	1.1.3.15
A0A087E136	1.1.3.15
A0A087EIS6	1.1.3.15
A0A0H5BPQ4	1.1.3.15
H6RSV4	1.1.3.15
H6RN14	1.1.3.15
A0A0H4W4S4	1.1.3.15
A0A0E7UI28	1.1.3.15
A9IQN3	1.1.3.15
A9IQN0	1.1.3.15
Q3ZBW2	1.1.3.15
A4Z0V5	1.1.3.15
A4YVE0	1.1.3.15
H0T9T4	1.1.3.15
H0RSU3	1.1.3.15
H0SX50	1.1.3.15
H0RVQ0	1.1.3.15
H0TJ90	1.1.3.15
H0SLS5	1.1.3.15
H0RUW7	1.1.3.15
A4Z0U9	1.1.3.15
H0TLA1	1.1.3.15
H0TJ83	1.1.3.15
H0TEW0	1.1.3.15
A5ECH8	1.1.3.15
H0SIB8	1.1.3.15
H0T8W2	1.1.3.15
H0SHM2	1.1.3.15
H0SIC1	1.1.3.15
H0RVQ4	1.1.3.15
A5ECH9	1.1.3.15
A5EK29	1.1.3.15
D4YN11	1.1.3.15
Q2YII5	1.1.3.15
E0DQ45	1.1.3.15
Q8YI46	1.1.3.15
Q8YB37	1.1.3.15
Q8YB39	1.1.3.15
E2PL66	1.1.3.15
A0A0P0RP68	1.1.3.15
A0A0P0R820	1.1.3.15
A0A0P0RIU5	1.1.3.15
A0A0H2XTD0	1.1.3.15
A0A0B6RP43	1.1.3.15
A0A0H3KC56	1.1.3.15
A0A0H3KGZ2	1.1.3.15
Q3JNY8	1.1.3.15
A0A095S1N0	1.1.3.15
Q3JHC3	1.1.3.15
A0A0E1S6K3	1.1.3.15
A0A0P0GUD6	1.1.3.15
Q3JNZ0	1.1.3.15
A0A0E1SA20	1.1.3.15
Q3JQM9	1.1.3.15
E5AM76	1.1.3.15
E5AM77	1.1.3.15
E5AM75	1.1.3.15
Q13YT9	1.1.3.15
Q145G9	1.1.3.15
Q145G8	1.1.3.15
A0A0R3JS23	1.1.3.15
A0A0R3K2G2	1.1.3.15
K9PNA8	1.1.3.15
T2LJU1	1.1.3.15
A0A0D6G8J9	1.1.3.15
M5IPU5	1.1.3.15
A0A080LV49	1.1.3.15
A0A011R8E6	1.1.3.15
A0A080M6P8	1.1.3.15
A0A011MGF2	1.1.3.15
A0A011PT91	1.1.3.15
A0A011QMR4	1.1.3.15
A0A011MFG6	1.1.3.15
A0A011QCS6	1.1.3.15
A0A011QK89	1.1.3.15
E6N7D7	1.1.3.15
E6N788	1.1.3.15
A0A0T5ZJ82	1.1.3.15
A0A0T5ZUA2	1.1.3.15
W8GFP9	1.1.3.15
Q1PW53	1.1.3.15
M9SFA6	1.1.3.15
D5MNA0	1.1.3.15
A0A0T6AJI7	1.1.3.15
A0A0T6AB85	1.1.3.15
F4BMG1	1.1.3.15
F4BR76	1.1.3.15
K1KWG0	1.1.3.15
A0A0F8B4A0	1.1.3.15
M7NB96	1.1.3.15
A0A0E9FU67	1.1.3.15
A0A0E9F1A3	1.1.3.15
A8IEL8	1.1.3.15
Q7NZM1	1.1.3.15
Q1QYM6	1.1.3.15
K9TUB7	1.1.3.15
A0A0P1CSH2	1.1.3.15
S0EYS9	1.1.3.15
A0A0N7LGH0	1.1.3.15
A0A0P1CUZ5	1.1.3.15
A0A0F6TW70	1.1.3.15
A0A0F5SHM7	1.1.3.15
A0A083Z1N7	1.1.3.15
A0A090VAN6	1.1.3.15
A0A0M5KI04	1.1.3.15
A0A0D7LP69	1.1.3.15
A0A064DQU7	1.1.3.15
A0A023V347	1.1.3.15
A0A0J1JYH8	1.1.3.15
A0A0P8Q0E5	1.1.3.15
A0A0J1LNA4	1.1.3.15
A0A0J1LTH4	1.1.3.15
A0A0J1L0T2	1.1.3.15
A8ANL6	1.1.3.15
A0A078LKD3	1.1.3.15
A0A0A1RXP1	1.1.3.15
A0A0M1VKH6	1.1.3.15
A0A064D539	1.1.3.15
R8WWJ2	1.1.3.15
A0A090U7M7	1.1.3.15
D4BHH7	1.1.3.15
U5RS18	1.1.3.15
A0A0B5QLQ1	1.1.3.15
A0A0L6Z980	1.1.3.15
A0A0L6Z6D8	1.1.3.15
M1MT52	1.1.3.15
A0A0C7QQ06	1.1.3.15
A0A0U5P4V4	1.1.3.15
A0A0U5PE87	1.1.3.15
A0A0F0CCR9	1.1.3.15
A0A0U5NX37	1.1.3.15
G7M0E1	1.1.3.15
A0A0F0C861	1.1.3.15
A0A0F0C8R9	1.1.3.15
A0A0U5P358	1.1.3.15
A0A0U5NXR6	1.1.3.15
A0A0U5JSS4	1.1.3.15
Q896M6	1.1.3.15
G0AHZ0	1.1.3.15
G0AHZ1	1.1.3.15
D4J7S8	1.1.3.15
D4J5N3	1.1.3.15
X5EDE2	1.1.3.15
K9W256	1.1.3.15
Q39640	1.1.3.15
Q1LMF7	1.1.3.15
Q1LJ75	1.1.3.15
Q1LQ51	1.1.3.15
Q0K752	1.1.3.15
G0ESW4	1.1.3.15
G0ES38	1.1.3.15
Q0KBU8	1.1.3.15
G0ERK7	1.1.3.15
Q0K750	1.1.3.15
G0EVT4	1.1.3.15
G0EVT6	1.1.3.15
Q0KC24	1.1.3.15
Q46UI1	1.1.3.15
B3R6H2	1.1.3.15
B3R6H4	1.1.3.15
C9Y9E7	1.1.3.15
C9Y718	1.1.3.15
R7ZZ67	1.1.3.15
S7WFA4	1.1.3.15
D3PDY5	1.1.3.15
Q1IWN3	1.1.3.15
A0A080NFB1	1.1.3.15
F6AVX6	1.1.3.15
A0A0T6ADC9	1.1.3.15
F5SJF4	1.1.3.15
F5SKH3	1.1.3.15
F5SJF3	1.1.3.15
F5SJF5	1.1.3.15
F5SJF1	1.1.3.15
C0QKR7	1.1.3.15
C0QCR3	1.1.3.15
C0QBU7	1.1.3.15
C0QK91	1.1.3.15
C0QJA3	1.1.3.15
K0N926	1.1.3.15
K0NHF1	1.1.3.15
A0A0J1FVG5	1.1.3.15
S0FVM6	1.1.3.15
S0FYJ5	1.1.3.15
S0G7W3	1.1.3.15
S0FWI7	1.1.3.15
F6CI10	1.1.3.15
F6B8U7	1.1.3.15
Q314U5	1.1.3.15
G7Q5T8	1.1.3.15
A0A0K0TUB1	1.1.3.15
A0A024KJM9	1.1.3.15
A0A085FLP7	1.1.3.15
Q54E41	1.1.3.15
A1Z8D3	1.1.3.15
D7FMI7	1.1.3.15
D8LSB4	1.1.3.15
D8LDI6	1.1.3.15
A0A0M3H706	1.1.3.15
A0A0H3FPE5	1.1.3.15
A0A0G9Y480	1.1.3.15
A0A0F6K874	1.1.3.15
A0A0P8RHR0	1.1.3.15
E3G4Z8	1.1.3.15
A0A0J0IQF0	1.1.3.15
E5YJ45	1.1.3.15
L0M7M1	1.1.3.15
A0A0C5WDC9	1.1.3.15
A0A0P7Z009	1.1.3.15
A0A0P7WDX3	1.1.3.15
W0AYF0	1.1.3.15
A0A0S3N043	1.1.3.15
B1EGB1	1.1.3.15
A0A0S3NAE0	1.1.3.15
P37339	1.1.3.15
H4UMR9	1.1.3.15
V0SFE2	1.1.3.15
N2RUB0	1.1.3.15
A0A069XGS7	1.1.3.15
S1DZY6	1.1.3.15
A0A080INM6	1.1.3.15
W9AIT9	1.1.3.15
I2UF32	1.1.3.15
A0A0D0LS41	1.1.3.15
U9YYE7	1.1.3.15
A0A0T5JU07	1.1.3.15
S0YLP1	1.1.3.15
A0A070YAM7	1.1.3.15
A0A0H0GTN3	1.1.3.15
H4K7N9	1.1.3.15
S0VN32	1.1.3.15
H4IEN1	1.1.3.15
A0A017JTY3	1.1.3.15
A0A0H0ETT9	1.1.3.15
A0A0F3VBM6	1.1.3.15
A0A0B1BKX2	1.1.3.15
A0A073G840	1.1.3.15
A0A029KI23	1.1.3.15
H4HZW0	1.1.3.15
N4NTH3	1.1.3.15
A0A0H3EK26	1.1.3.15
