uid	taxid	organism	superkingdom	ph	temperature	pfam	lineage_identifiers	lineage_ranks	lineage_names
A0A0N1GNK6	1592327	Actinobacteria bacterium	Bacteria	NA	NA	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 52018, 78537, 1592327	root, no rank, superkingdom, no rank, phylum, class, no rank, no rank, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, unclassified Actinobacteria (class), unclassified Actinobacteria (class) (miscellaneous), Actinobacteria bacterium OK074
B8H6F9	452863	Pseudarthrobacter chlorophenolicus	Bacteria	NA	30.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85006, 1268, 1742993, 85085, 452863	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Pseudarthrobacter, Pseudarthrobacter chlorophenolicus, Pseudarthrobacter chlorophenolicus A6
J7LQA3	1118963	Arthrobacter sp.	Bacteria	7.15	29.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85006, 1268, 1663, 1118963	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter sp. Rue61a
J7LVS7	1118963	Arthrobacter sp.	Bacteria	7.15	29.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85006, 1268, 1663, 1118963	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter sp. Rue61a
Q5B2E9	227321	Aspergillus nidulans	Eukaryota	6.05	31.0	NA	1, 131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 162425, 227321	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, no rank, subphylum, no rank, class, subclass, order, family, genus, species, no rank	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus, Aspergillus nidulans, Aspergillus nidulans FGSC A4
Q0RGV3	326424	Frankia alni	Bacteria	NA	28.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85013, 74712, 1854, 1859, 326424	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Frankiales, Frankiaceae, Frankia, Frankia alni, Frankia alni ACN14a
A0A060V429	1667327	Klebsiella quasipneumoniae	Bacteria	7.0	34.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 1463165, 1667327	root, no rank, superkingdom, phylum, class, order, family, genus, species, subspecies	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella quasipneumoniae, Klebsiella quasipneumoniae subsp. quasipneumoniae
W8XI42	1463165	Klebsiella quasipneumoniae	Bacteria	7.0	34.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 1463165	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella quasipneumoniae
A0A0I9NPR5	1438801	Klebsiella variicola	Bacteria	7.0	29.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 244366, 1438801	root, no rank, superkingdom, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella variicola, Klebsiella variicola MGH 80
A0A0I9Q8P2	573	Klebsiella pneumoniae	Bacteria	7.07	34.0	NA	1, 131567, 2, 1224, 1236, 91347, 543, 570, 573	root, no rank, superkingdom, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Klebsiella, Klebsiella pneumoniae
Q75ZP8	47721	Lyophyllum shimeji	Eukaryota	NA	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 452333, 5338, 930979, 47720, 47721	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, subclass, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Lyophyllaceae, Lyophyllum, Lyophyllum shimeji
I4EXQ4	477641	Modestobacter marinus	Bacteria	7.2	28.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 1643682, 85030, 88138, 477641	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Geodermatophilales, Geodermatophilaceae, Modestobacter, Modestobacter marinus
I4EXS6	477641	Modestobacter marinus	Bacteria	7.2	28.0	PF00732, PF05199	1, 131567, 2, 1783272, 201174, 1760, 1643682, 85030, 88138, 477641	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Geodermatophilales, Geodermatophilaceae, Modestobacter, Modestobacter marinus
G4HXT0	931627	Mycolicibacterium rhodesiae	Bacteria	NA	NA	PF01266, PF05199	1, 131567, 2, 1783272, 201174, 1760, 85007, 1762, 1866885, 36814, 931627	root, no rank, superkingdom, no rank, phylum, class, order, family, genus, species, no rank	root, cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium rhodesiae, Mycolicibacterium rhodesiae JS60
Q8J136	204723	Peniophora sp.	Eukaryota	NA	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 452342, 103393, 40463, 204723	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Russulales, Peniophoraceae, Peniophora, Peniophora sp. SG
Q6QWR1	5306	Phanerochaete chrysosporium	Eukaryota	5.6	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 5303, 396331, 5305, 5306	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Phanerochaetaceae, Phanerochaete, Phanerochaete chrysosporium
Q6UG02	82310	Phlebiopsis gigantea	Eukaryota	5.6	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 5303, 396331, 82309, 82310	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Phanerochaetaceae, Phlebiopsis, Phlebiopsis gigantea
P59097	5327	Trametes hirsuta	Eukaryota	5.6	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 5303, 5317, 5324, 5327	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Polyporaceae, Trametes, Trametes hirsuta
Q7ZA32	230624	Trametes ochracea	Eukaryota	5.6	25.0	PF05199	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 5303, 5317, 5324, 230624	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Polyporaceae, Trametes, Trametes ochracea
Q5G234	154538	Trametes pubescens	Eukaryota	5.6	25.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 5303, 5317, 5324, 154538	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Polyporaceae, Trametes, Trametes pubescens
P79076	5325	Trametes versicolor	Eukaryota	5.6	24.0	NA	1, 131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 355688, 5303, 5317, 5324, 5325	root, no rank, superkingdom, no rank, kingdom, subkingdom, phylum, subphylum, class, no rank, order, family, genus, species	root, cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Polyporaceae, Trametes, Trametes versicolor
